source,target
,卿
,词尾表向位格附加成分
,词尾表使动态附加成分
,寅/虎
,词尾表过去时附加成分
,叛者
,叛
,叛
,哈里
,合里
,韩隐
,显赫
,发光
,志
,志
,志
,志
,志
,铭
,志
,凿刻
,志
,志
,铭
,志
,凿刻
,刻
,志
,志
,书
,铭
,志
,凿刻/雕刻
,志
,显赫
,贤能
,汗
,可汗
,韩/汉/罕
,何乃
,可汗
,领格
,韩宁
,韩隐
,上
,可汗
,领格
,可汗
,汗房
,宾格
,可汗
,领格
,可汗
,可汗
,领格
,可汗
,寅/虎
,虎/蕃珂思/兽皇
,可汗们
,可汗
,领格
,哈华
,合葛
,哈嘎
,汉阿
,哈/何
,合并
,合葬
,座
,和
,领格
,滑
,梓宫
,千金
,小姐
,淑女
,小姐
,丑/牛
,词尾表领格附加成分
,抹鹘
,小
,抹里
,幼
,向位格
,幼
,向位格
,幼/小
,抹里
,领格
,牛群
,地位
,括十钵
,曷斯本
,厝
,置
,摆
,殡葬
,地位
,早晨/朝
,领格
,眠
,摆撒
,何斯罕
,地位
,老
,殡
,殡
,殡
,置/任除
,摆撒里
,葬
,永远/长久
 ,景福
,景福
,永久
,最小的
,安顿
,命名
,被命名
,岁
,享年/年
,龄
,当/正
,岁
,岁
,时
,向位格
,龄
,殇
,欧里本
,欧里不
,欧古恁
,瓯昆
,遥辇
,欧古恁/欧古尼
,欧妮
,瓯昆
,故/因此
,无
,时
,卒/逝/亡
,夭折/殇
,瓯昆
,赐
,褒
,云
,云
,领格
,故
,   
,前妻
,嫁
,嫁
,字
,字
,领格
,字
,字
,向位格
,字
,向位格
,字
,字
,字
,赐
,林乌
,丽克珠/烈束
,里术/丽术里
,赐
,膺
,尚/娶
,夫君
,赐
,诰/膺
,赐
,尚
,御
,婿
,户
,膺/获得
,御
,户
,膺/获得
,御
,武
,武
,领格
,文
,王
,王
,王子
,王
,领格
,王
,领格
,王
,向位格
,王
,领格
,王宁
,王宁
,领格
,东
,东
,安里
,兖里
,子嗣
,血脉/县
,安里
,兖里
,帖剌
,迪里钵
,迭剌
,帖剌
,铁离
,皇/黄
,黄己室
,黄乙斯古
,梯室己
,皇帝
,篁姑
,阿不葛
,混
,清
,青/绿/黑
,格
,额
,乌里
, 
,未嫁
,兀衍
,乌里衍
,戈也昆
,戈也昆
,领格
,格衍
,讹古
,乌鲁古（孳息、牲口）
,乌鲁古（孳息、牲口）
,领格
,翰
,乾
,   
,前妻
,后
,领格
, 
,后裔
,讹里
,讹勒
,平明
,天光彩
,失望
,朔
,讹里本
,朔
,讹里本
,朔
,序言
,讹里本
,乌卢本
,戈勒本
,胡
,古
,忱/笃
,忱
,词尾表副动词附加成分
,驱
,忱/笃
,月
,越
,越
,月
,向位格
,赛邻氏
,向位格
,竹隐乙林免
,月
,越
,月/越
,院/远
,刺/司/子/石
,司
,领格
,司
,向位格
,司
,领格
,律里本
,天辅
,阿鲁盌
,辅佐
,律来
,阿邻
,耶鲁
,臣服
,六
,六
,向位格
,第六
,第六
,六
,职/知
,词尾表静词类附加成分
,知
,镇
,治理
,知
,领格
,（盗）跖
,治
,向位格
,旨
,政
,政/郑
,使协助
,匡辅
,隗衍
,突厥
 ,天辅
,魏
,奥隗
,乌隗
,乌隗
,尉邻
,魏
,奥隗
,乌隗
,乌隗
,翁
,铎臻
,铎只
,元
,东
,永
,元/第一
,元/头
,兀没里
,脱伦
,尤里
,元
,和睦
,爱
,东
,东
,氏族
,领格
,中心/河流/府
,安
,媳妇
,嫁
,媳妇们
,乌里
,丈
,写
,公务
,再
,传
,丈
,词尾表静词类附加成分
,词尾表复数附加成分
,散发
,须
,万
,弟
, 
,叔父
,和/与
,词尾表向位格附加成分
,加
,和/与
,弟媳
,弟
,向位格
,都斡
,弟
,向位格
,弟
,弟
,都讷瑰
,弟弟们
,弟
,领格
, 
,惕隐司
,横帐
,楚
,丑
,春
,丑女
,呈
,聚集
,积
,院
,副使
,楚卫
,楚里
,充
,崇骨德
,崇翁
,崇严
,丑隐
,字
,字
,领格
,字
,向位格
,言据
,字
,领格
,词尾表复数附加成分
,颛阿
,颛阿/颛遨
,（刘）焯
,智不困
,扎不古
,第二
,第二
,第二的（名）
,字/大名
,芝兰
,阿剌懒
,疾患
,主/诸
,护
,鲁
,诸速得
,主斯
,主
,向位格
,主
,领格
,主
,章
,东/左
,字
,领格
,诏/昭
,赵
, 
,赵国/汉儿
,赵
,极多/无数
,小
,年幼的/年青的
,词尾表副动词附加成分
,词尾表过去时附加成分
,两
,双
,多
,达剌干/首领/依次
,小底
,院
 ,赵国/汉儿 
 ,汉儿
,领格
,行
,驾
,古
,仲/中
,中
,向位格
,中
,道/盗
,铎衮
,铎衮
,奉
,太/甚
,仲
,庶
,仲
,仲
,庶
,仲
,超过
,道勒
,率
,铎鲁斡
,斛鲁宛
,从/率
,词尾表领格附加成分
,年
,父/爷
,男
, 
,叔父
,岁
,年/父/房/翁帐
,领格
,年
,向位格
,年
,年间
,年
,年间
,男
,男性们/兄弟
,父
,父房
,年
,领格
,男
,父
,父房
,舍利房
,里罕里
,阿撒里
,兴隆/蒲速碗
,辅佐
,名声
,名声
,名声
,里阿里
,阿剌里
 ,乾统
,辅佐
,荔枝
,阿里
,常
,迁
,行
,整
,岁
,时/左右
,后
,整
,向位格
,时节
,夏
,下
,乌
,武
,乌鲁
,叙位
,位
,叙位
,居位
,居位
,武卫
,乌鲁兀卫
,乌鲁兀也
,讹都斡
,哀
,赞许/怜爱
,溺爱
,武里烈
,乌里术辇
,院/宫/斡鲁梨
,上（京）
 ,五院 
,北院
,宫
,祖宗/先祖
,宫
,领格
,宫
,领格
,宫
,向位格
,先祖
,上辈
,冬
,嫁
,嫁
,嫁
,嫁
,我们
,诸位
,先
,陵
,行军
,实际/实授
,诸如
,处置使
,统军使
,明日
,磨鲁堇
,磨鲁堇
,部
,密
,密
,领格
,门
,蒸
,遗憾/惜
,沐古
,睦古
,毛古
,毛哥
,迷己
,大者/长
,磨鲁古
,麻苏古
,伯/长/第一
,大/第一
,大
,伟大
,孟/伯/长
,摩
,长
,领格
,麽
,末掇
,马
,大
,马
,领格
,模奴
,午/马
,木里/穆里
,弥里
,马
,马
,领格
,迷里吉/密儿纪/梅里急
,穆里给
,马
,领格
,穆里格
,迷里吉（国音宁苏的妻子姓“梦谷诺”，本名迷里吉）
,马群
,梅里急/迷里吉（复数）
,弥里
,领格
,穆里
,马
,追
,女儿/女孩儿
,伯/长
,年长的/长女
,银
,冰
,萌觚
,穆维
,麻隗
,萌
,明
,行猎
,猎
,猎夫
,去
,出发
,穆
,满宁
,满尼
, 
,打猎
,猎夫
,穆而茨
,明
,铭
,木杨
,弥里（复数）
,缅思
,篾里宁
,缅隐
,熙熙
,密
,弥
,珉
,长
,太庙
,向位格
,障/门
,迪里古
,婿
,二
,向位格
,再次
,像
,二
,复
,改
,历/顺次
,夷离毕
,叙
,排列次序
,生灵
,变坏/不利
,执掌
,夷列
,夷里也
,瑰理
,夷懒
,夷里衍
,户
,执笔/执掌
,辅佐/事奉
,那/纳
,良
,舅父
,舅祖
,外祖父
,国舅/舅
,翁
,国舅
,领格
,舅
,领格
,翁帐
,舅
,国舅
,舅帐
,祔
,使眠
,祔
,迁
,使眠
,安息
,眠
,眠
,去世
,安息的
,男
,兼
,词尾表领格附加成分
,七
,挞烈
,道洛
,多罗胡
,迭剌哥
,七
,向位格
,第七
,敌烈
,迪辇
,知
,知
,知
,知
,知
,知
,职务
,知
,知
,知
,远亲
,知
,知
,知
,任
,知
,知
,所知
,领格
,试
,知
,知
,知
,卡
,华
,词尾表过去时附加成分
,此
,今
,此
,今
, 
,脦俚蹇
,可敦
,绘
,绘像/面貌/脸面/颜
, 
,脦俚蹇
,今
,重新
,再
,四十
,四十
,领格
,然
,何
,好
,无
,朱优
,中
,仲
,术里者/女真
,术里者/女真
,术里者
,术哲
,女真
,术古
,夏
,中/忠
,中
,领格
,众
,只
,告
,指定
,指
,掌管
,辅佐
,辅佐
,辅佐
,令
,胡宁
,告发
,章/张/彰
,宰相
,宰相
,宰相们
,宰相
,领格
,宰相
,宰相
,宰相
,领格
,宰相
,知
,阳面
,阳/旁
,事
,第三
,第三
,乌鸦
,乌鸦
,阿辛/亚思
,贺坤
,曷胡
,面
,胡里
,胡乌里
,和古典
,皇族
,灾祸
,陵墓
,冲
,哈
,噶
,卓
,护
,胡母里
,惠宛
,赫睦本
,合睦不
,浑不鲁
,第三
,众
,第三
,匣马葛
,辖母葛
,混
,染（病）
,黑
,何
,领格
,曷古麽格
,曷苏/曷术
,殃
,祸
,祸
,内/里
,长
,晴朗
,嫡
,对
,者
,中
,算/选底
,算/心腹
,嫡
,亲属
,过继
,速稳
,算
,领格
,心腹
,词尾表过去时形动词附加成分
,词尾表领格附加成分
,温纳
,降
,降
,堕马
,五十
,五十
,领格
,日
,昼
,涅里吉
,那陪然
,纳剌里
,日
,领格
,日
,向位格
,日
,班
,伊离
,日
,使任职
,任职
,任职
,姐
, 
,表姐
,妻姐
,侄
,   
,后妻
,侄
,天祚
,祚/奥衍
,乱
,任
,祗侯
,任
,录用
,任
,奥乌勒钆普
,敖卢斡
,奥里斡
,斡鲁宛
,欧鲁宛
,奥鲁宛
,山
,领格
,任
,词尾表副动词附加成分
,词尾表复数附加成分
,臣/陈
,臣
,领格
,州/舟/妯/周
,州
,领格
,州
,酋
,州
,向位格
,州
,向位格
,州
,领格
,职
,州
,中
,中
,领格
,欧邻/欧伦/周邻
,和/并
,序
,按语
,俦伦
,周邻
,权
,啜里
,啜邻
,失职
,贤
,楚古隐
,楚衮
,札不
,祔
,打开
,术不姑
,并
,向/昔/曾
,慈露德
,札里德
,州
,妵古只
,秋只
,楚勒
,俶勒
,臣/陈/辰/宸
,眷
,宸
,领格
,等
,册
,政
,闸撒
,政
,闸撒
,闸撒狘
,仓
,领格
,除钵
,除睦古
,涿
,泽
,涿古
,阻卜/术不姑/直不姑
,阻卜 /术不姑
,领格
,术不姑
,扎不古
,智不困
,册
,尚/章/嫦/张
,迟女
,初鲁得/楮特
,二
,第二
,初鲁里
,第二
,仲
,第二
,领格
,第二的（名）
,字
,从
,祔
,向
,嗣
,附
,附葬
,楚
,楚越
,册
,丞/郕/承/诚
,承得
,楚不古
,楚卜勒古
,常
,诸
,主
,主
,猪粪
,嫡
,正
,城/承
,钱
,燦
,战
,战
,春
,御
,东/左
,持
,智
,秦
,庆
,血
,近亲/亲戚
,亲属
,领格
,孝
,孝
,孝
,孝
,向位格
,孝/赤实得本
,孝/赤实得本
,孝
,智先
,羽林
,亲族
,撰
,书写/题
,户
,撤讷
,并
,刻
,有
,昭
,朝
,南
, /  /  /  /  
,赵国/汉儿
,赵
,外甥
,乾/县
,玄
,县
,领格
,县
,县
,领格
,局
,居
,骑
,三
,三
,向位格
,三
,生/生员/未仕
,生员
,领格
,喜
,掩
,复
,大
,掩
,乌贝
,乌理
,乌古
,兀古勒
,兀古匿
,兀立宁
,兀古邻
,菩里宁
,奥里
,乌骨里
,朴
,业
,古黑
,阿思/宽大
,清
,宁
,眷顾
, 
,清宁
,阿撒林
,勃鲁恩
,部隐/布隐
,勃鲁恩
,布隐
,别部
,乙室已
,萧
,外戚
,布夷
,布猥
,李
,乌里只
,人
,民
, 
,妻/夫人
, 
,臣
,奴才
, 
,近侍/贴身
,祗候
,通
,述古鲁
,库勒
,库古勒
,控骨里
,孔古里
,兵
,空宁
,孔宁
,孔文
,控稳
,人
,向位格
,人
,领格
, 
,黔黎
,教育/培养
,输/尽
,儿
,词尾表向位格附加成分
,词尾表复数附加成分
,词尾表从比格附加成分
,侍/师/史/使/事/诗/氏/士/石
,使/事/侍
,使
,领格
,师/事/石
,领格
,师/诗
,向位格
,侍
,师
,领格
,师
,宾格
,使/侍
,查剌
,撒剌/酒樽
,谨
,谨
,查懒
,查剌柅
,姆哈
,阿姆哈
,阿睦葛/阿木葛
,阿麻
,因为
,关隘
,没里/河
,水
,向位格
,水/没里/江河
,领格
,任
,成为
,授
,任/为
,授
,成
,伪
,闭
,毕
,毕
,除
,闭
,闭
,使闭
,完毕
,闭
,完毕
,闭
,闭
,封
,闭
,闭
,闭
,除
,任
,成
,居
,行宫/宫帐、亭、官府、治事之所/斡鲁朵（使留下）
,行宫/宫帐、亭、官府、治事之所/斡鲁朵（使留下）
,向位格
,斡鲁朵（使留下）
,斡鲁朵（使留下）
,行宫/宫帐、亭、官府、治事之所/斡鲁朵（使留下）
 ,重熙
,万/图木/秃没
,特满
,图睦里
,小
,少
,季/小/少
,幼
,少
,幼
,季
,幼子
,少
,向位格
,安
,安哥
,安讷
,使在
,使在
,恩惠
,贡品
,仗使有
,阿厮
,名声/名望
,是
,曾在
,继（承）
,曾经
,已有
,词尾表过去时附加成分
,曾经
,曾经
,具
,有
,尊长/大
,将及
,受
,除/晋
,位置
,卦
,祖
,卦
,祖
,在
,阿竹隐/阿主隐
,阿思林
,阿查讷
,翼
,广
,睦
,孙
,除
,任
,又任
,氏
,乙林免
,氏
,从比格
,乙林免
,领格
,拏思
,民
,领格
,达领
,挞领
,达林
,挞领
,嗣/继/传/遗
,静
,祖
,阿不
,布
,向位格
,阿钵隐
,不宁
,领格
,阿钵隐
,布利
,领格
,阿不里
,妻
,挞里
,涂/徒
,鞑靼
,薨/卒
,薨
,卒
,薨
,卒
,薨
,同
,统/同/通/童
,词尾表向位格附加成分
,词尾表从比格附加成分
,词尾表复数附加成分
,陵
,千
,猛安
,千
,猛安
,辰/龙
,禄
,姐（复数）
,娘子
,娘子
,领格
,娘子
,向位格
,娘子（复数）
,三十
,三十
,向位格
,团
,团宁/团隐
,驼宁
,突里
,掩
,再次
,达里
,大
,第七
,掩
,迁
,大
,大
,第七
,子/鼠
,词尾表向位格附加成分
,词尾表从比格附加成分
,印
,礼
,礼/规矩
, 
,大定
, 
,大定
, 
,保宁
,使之有礼/降服/驾驭
,尧四勒钆初/尧四勒古
,印
,领格
,礼
,恭/谦/有礼节
,夺里懒
,押
,降服
,归服/施礼
,施礼
,追
,礼
,词尾表静格附加成分
,词尾表领格附加成分
,优昙波罗
,巳/蛇
,部
,尼兀秃
,部/路
,尼兀里
,部
,部
,部
,领格
,姐
,涅鲁
,尼里
,涅鲁古
,涅鲁古
,领格
,涅鲁衮/涅里衮/涅里古
,涅邻
,尼里宁
,涅里衮
,涅里衮
,潜
,词尾表复数附加成分
,袅鲁
,袅鲁
,乌古
,戌/狗
,涅赫
,女
,阳
,阳
,顶
,坡
,陵
,涅古只
,尼古只
,岩木
,岩木古
,涅睦
,涅睦衮
,岩木
,涅睦
,涅睦衮
,词尾表复数附加成分
,部
,面
,路
,面
,路
,部
,面
,部/路
,面
,部
,领格
,内
,开
,广大/富
, 
,开泰
,奴
,女
,词尾表复数附加成分
,嗣
,义兄
,姑姑
,非同胞
,诸妹
,胞妹
,妹妹
,姐妹
,嫋
,同胞
,同胞
,妹妹
,兄弟
,姐妹
,弟弟/妹妹
,妹妹
,领格
,妹妹
,领格
,妹妹
,领格
,奴鲁堇
,女鲁衮
,部/路
,褭古直
,涅李宁
,涅邻
,圣
,圣
,领格
,圣
,圣
,圣
,圣
,圣
,太宗
,惠文
,太宗
,领格
,梓
,普/仆/卜
,毕/比
,宾
,兵
,必
,院
,院
,元宁
,元宁
,有司
,僭
,假借/修饰/僭伪
,署
,命
,外观/形式
,长
,丹/檀
,章
,章
,章
,领格
,唐
,唐
,领格
,久
,检
,补
,欲
,   
,后妻
,近侍
,库
,补
,补
,班
,补
,欣
,不胜
,增补
,曾孙
,词尾表静词类附加成分
,词尾表复数附加成分
,夷离堇
,夷离堇
,词尾表静词类附加成分
,词尾表复数附加成分
,女
,都/度/笃/督/德
,冬
,桐
,笃
,杜
,冬/东/董
,敦
,生
,生
,向位格
,生
,圆
,生
,父
,生
,出身
,生
,生父
,生
,生
,生
,生
,生
,生
,生
,诞
,生
,生
,诞
,生
,向位格
,里
,地
,里程
,地方
,向位格
,里
,十
,府/夫/傅/辅/驸/副/父/富/福/佛
,副使
,夫人
,夫人
,领格
,使成功
,使兴盛
, 
,天庆
,庆
,富得尔
,富图衍
,兴
,枢
,庆
,庆
,兴
,蒲速里
,庆
,兴
,蒲速衍
,蒲速/蒲速盌
,涌出
,防
,傅/富/副/赋
,溥古
,浦古
,普古
,府/夫
,芬
,勃鲁恩
,奋勿腻
,蒲奴宁
,蒲奴隐
,奋勿腻
,范
,福耐
,酆/奉/冯
,蒲鲁
,蒲勒
,福乐
,蒲邻
,富邻
,普你
,富乐宁
,府/驸/复
,丰
,辅/福
,辅/福
,领格
,天
,天/广大
,凭天
,词尾表复数附加成分
,新
,晋
,秦
,信陵
,信宁
,习泥烈
,秦乐
,习撚/习涅
,晋涅
,习捻
,秦安
,辛衮/思奴古
,酒/修/秀/秋
,周哥
,夜
,晚
,夜
,领格
,夜
,向位格
,将/相
,鲜质
,斜茨
,斜宁
,宣
,位
,苏里赫
,苏得里赫
,苏阿里合
,位
,位
,习/悠
,宋
,差
,采
,月
,撒剌的/撒剌德
,撒剌的/撒剌丁
,撒剌里
,撒懒
,撒剌竹
,撒剌
,撒剌德
,撒剌汀
,撒懒
,苏
,寿
,乙辛/宜新
,义信
, 
,景福
, 
,寿昌
,乙辛隐
,乙辛宁
,乙辛
,撒哈撒
,撒胡竹
,撒割
,撒割里
,撒割竹
,使新
,曹
,扫古
,甲/乙/青
,甲/乙/蓝
,甲/乙/木
,慥古/扫古
,积
,鸠
,招集
,使之修饰
,鸠
,修
,修饰
,索热斯
,忠信
,索热斯
,详稳（将军）
,向位格
,详稳（将军）
,从
,左
,夏
,家
,散
,散/算
,驻/如/任
,驻/任
,公署
,署衙
,行帐
,驻/任
,坐/居/如
,三
,三宁
,三隐
,驻/任
,继
,嗣
,嗣/继
,挞不也
,撒八
, 
,统和
, 
,统和
,领格
,撒班/撒版/撒板/萨板/撒本
,撒巴里
,思巴里
,继承
,嗣
,狩猎/游玩
,猕
,往来
,行
, 
,打猎
,射/猎/射驰
,行
,祖
,苏
,病/疾
,病
,病
,色勒郭
,（岁）次
,隋
,隋
,僧
,荪
,逊宁/习宁/信宁
,遵宁
,青/清
,青/清
,领格
,静
,丧
,将/相/绛
,相
,领格
,相
,节/妾/谢/洁/借
,仙/先/前/千/遣/钱
,签
,熙格
,色格
,色格
,塞哥
,漆/齐/西/喜/积
,齐
,词尾表复数附加成分
,宋
,宋
,领格
,宋
,宋
,领格
,子/刺
,宗
,甲
,小
,甲/乙
,甲/乙/青
,甲/乙/蓝
,甲/乙/木
,甲/乙/黑/水
,甲/乙/青/锡
,甲/乙
,甲/乙/青
,甲/乙/蓝
,甲/乙/木
,武
,水
,安
,窝笃斡/讹都斡
,安/安宁
,窝笃盌/孽息
,兀没
, 
,大安
,窝里朵
,斡特懒
,斡特懒
, 
,重熙
,光明/兴盛
,使孽息
,窝里朵
,斡特懒
, 
,重熙
, 
,赵国/汉儿
, 
,汉儿
,琨得
,古邻
,桂
, /  
,赵国/汉儿
,等
,代词（他们/这些）
,词尾表向位格附加成分
,词尾表复数附加成分
,帐
,施/后人
,帐
,领格
,第五
,第五
,德
,盈满/丰实
,康
,德
,丰实/康/德
,迪里姑
,乣里
, 
,大康
,康
,仁德/德
,糺邻
,主因
,康/德
,德
,凭借格
, 
,天会
,德
,迭剌
,迪辇
,迭剌
,海/达赉
,迭烈德/迪烈德/敌烈
,迪里葛
,下/南
,燕
,杜里
,吐里
,帐
,挞不里
,塔塔里
,帐
,领格
,鞑靼
,第五
,第五
,五
,塔不也
,挞体
,陶瑰/桃隈/桃委
,得志赫
,迪里葛
,通
,迭剌
,陶猥思
,正
,大
,太/大
,袋
,四
,中
,中/仲
,上
,都
,迪鲁古里
,突厥
,曰
,酉/鸡
,都/度
,度
,铎臻
,图古辞
,图古轸
,脱古思
,治
,图得
,塌母里
,塌母
,团
,挞不也
,挞不也
,挞不衍
,挞不也
,厝
,瘗/厝
,殡
,瘗/厝
,挞不勒
,挞不本
,当阿
,唐阿
,当尔
,唐鲁
,唐古鲁
,羌人
,唐古
,领格
,/唐古部
,四
,第四
,第四
,都管
,度
,图古辞
,鞑靼
,（86、103、104、达打
,德
,封
,追
,记录
,器重
, 
,天眷
,特免
,赠
,故
,封
,封
,封
,被封
,封
,封
,封
,封
,封
,封
,封
,被封
,封
,封
,特每
,特末
,特末里
,特末
,向位格
,封
,特美/特每
,故
,展开
,颓昱
,末尾/最后
,俄
,正
,贴不
,涤鲁/廸鲁/敌鲁
,迪鲁古/敌鲁古
,迪辇
,迪鲁堇
,迪里德
,得利德
,敌烈
,领格
,敌烈/迪烈
,敌辇/迪辇
,钿匿
,地安
,殿隐
,天
,殿
,殿
,向位格
,天你
,殿宁
,殿
,南
,下/南
,燕
,点
,典
,敌
,词尾表从比格附加成分
,定
,度突里
,都特
,睹
, 
,保宁
, 
,咸雍
,通
,冬
,集中
,德
,迭剌
,大/全/脱古思/图古斯/秃古斯
,追
,故
,故
,故
,故
,同阿
,同瓦
,同阿/同瓦/同刮
,覩璐
,率领
,年幼的/年青的
,小
,攒
,都古衮
,度勒衮
,后
,春
,鹤剌
,后
,领格
,昊
,词尾表领格附加成分
,墓
,墓
,部
,宗族/族
,家
,捺钵
,宗室
,领格
,家
,帐
,捺钵
,捺钵
,家
,捺钵
,家
,世袭
,家
,帐/行帐/捺钵
,内赖
,内赖
,适合/适意/普遍
,使和睦/使和好
,友好
,友
,和谐
,亲和
,和
,悌
,亲和
,和睦
,和睦
,调和/和睦
,和
,和睦
,乃方里
,奴
,奴
,农
,部
,尼兀里
,尼鲁里
,代
,领格
,宗室
,/家
,代
,向位格
,家
,代
,世袭
,代/世袭
,领格
,奴瓜
,秋
,配偶/伴侣
,耨
,配偶们
,涅睦散
,配偶们
,配偶们
,燕斯
,日
,向位格
,诸亲族
,亲族/族人
,内
,泥礼/雅里
,奴
,女
,宁
,宁宁
,宁隐
,雅里/涅里
,女古/金
,宁
,俄
,词尾表向位格附加成分
,词尾表复数附加成分
,帐/鞑靼/塔塔儿
,帐
,糺里/丢额日
, 
,大康
,天德
,乣邻
, 
,天会
,特
,德
,迭剌
,下/南
,燕
,大
,四
,都邻
,都伦
,昌盛
,大/全/脱古思/图古斯/秃古斯
,大
,多
,第四
,第四
,封
, 
,天眷
,封
,封
,封
,封
,封
,封
,封
,封
,封
,封
,号/封
,特末
,特末
,号/封
